Month,Theme,Week,Project,Activity,Materials,Psychological_Element
3월,나와 친구들,1,자화상 그리기,거울보고 나를 표현하기,"크레파스, 도화지",자아인식
3월,나와 친구들,2,친구 얼굴 그리기,친구의 특징 관찰하기,"색연필, 스케치북",타인이해
3월,나와 친구들,3,우리반 단체화,협동화 만들기,"물감, 대형도화지",사회성 발달
3월,나와 친구들,4,감정 표정 만들기,다양한 표정 표현하기,"종이접시, 꾸미기재료",감정표현
4월,자연과 색채,1,봄꽃 수채화,자연물 관찰화,"수채화 물감, 붓",집중력
4월,자연과 색채,2,색상환 만들기,색깔 혼합하기,"물감, 파레트",논리적 사고
4월,자연과 색채,3,나뭇잎 프린팅,자연물 활용하기,"잎사귀, 물감",창의성
4월,자연과 색채,4,무지개 풍경화,색채 표현하기,"파스텔, 도화지",정서안정
5월,감정과 표현,1,봄꽃 수채화,자연물 관찰화,"수채화 물감, 붓",집중력
5월,감정과 표현,2,색상환 만들기,색깔 혼합하기,"물감, 파레트",논리적 사고
5월,감정과 표현,3,나뭇잎 프린팅,자연물 활용하기,"잎사귀, 물감",창의성
5월,감정과 표현,4,무지개 풍경화,색채 표현하기,"파스텔, 도화지",정서안정
6월,상상의 세계,1,봄꽃 수채화,자연물 관찰화,"수채화 물감, 붓",집중력
6월,상상의 세계,2,색상환 만들기,색깔 혼합하기,"물감, 파레트",논리적 사고
6월,상상의 세계,3,나뭇잎 프린팅,자연물 활용하기,"잎사귀, 물감",창의성
6월,상상의 세계,4,무지개 풍경화,색채 표현하기,"파스텔, 도화지",정서안정
7월,우리 가족,1,봄꽃 수채화,자연물 관찰화,"수채화 물감, 붓",집중력
7월,우리 가족,2,색상환 만들기,색깔 혼합하기,"물감, 파레트",논리적 사고
7월,우리 가족,3,나뭇잎 프린팅,자연물 활용하기,"잎사귀, 물감",창의성
7월,우리 가족,4,무지개 풍경화,색채 표현하기,"파스텔, 도화지",정서안정
8월,여름 이야기,1,봄꽃 수채화,자연물 관찰화,"수채화 물감, 붓",집중력
8월,여름 이야기,2,색상환 만들기,색깔 혼합하기,"물감, 파레트",논리적 사고
8월,여름 이야기,3,나뭇잎 프린팅,자연물 활용하기,"잎사귀, 물감",창의성
8월,여름 이야기,4,무지개 풍경화,색채 표현하기,"파스텔, 도화지",정서안정
9월,동물과 환경,1,봄꽃 수채화,자연물 관찰화,"수채화 물감, 붓",집중력
9월,동물과 환경,2,색상환 만들기,색깔 혼합하기,"물감, 파레트",논리적 사고
9월,동물과 환경,3,나뭇잎 프린팅,자연물 활용하기,"잎사귀, 물감",창의성
9월,동물과 환경,4,무지개 풍경화,색채 표현하기,"파스텔, 도화지",정서안정
10월,가을 예술,1,봄꽃 수채화,자연물 관찰화,"수채화 물감, 붓",집중력
10월,가을 예술,2,색상환 만들기,색깔 혼합하기,"물감, 파레트",논리적 사고
10월,가을 예술,3,나뭇잎 프린팅,자연물 활용하기,"잎사귀, 물감",창의성
10월,가을 예술,4,무지개 풍경화,색채 표현하기,"파스텔, 도화지",정서안정
11월,창의적 도형,1,봄꽃 수채화,자연물 관찰화,"수채화 물감, 붓",집중력
11월,창의적 도형,2,색상환 만들기,색깔 혼합하기,"물감, 파레트",논리적 사고
11월,창의적 도형,3,나뭇잎 프린팅,자연물 활용하기,"잎사귀, 물감",창의성
11월,창의적 도형,4,무지개 풍경화,색채 표현하기,"파스텔, 도화지",정서안정
12월,겨울 감성,1,봄꽃 수채화,자연물 관찰화,"수채화 물감, 붓",집중력
12월,겨울 감성,2,색상환 만들기,색깔 혼합하기,"물감, 파레트",논리적 사고
12월,겨울 감성,3,나뭇잎 프린팅,자연물 활용하기,"잎사귀, 물감",창의성
12월,겨울 감성,4,무지개 풍경화,색채 표현하기,"파스텔, 도화지",정서안정
1월,새해의 꿈,1,봄꽃 수채화,자연물 관찰화,"수채화 물감, 붓",집중력
1월,새해의 꿈,2,색상환 만들기,색깔 혼합하기,"물감, 파레트",논리적 사고
1월,새해의 꿈,3,나뭇잎 프린팅,자연물 활용하기,"잎사귀, 물감",창의성
1월,새해의 꿈,4,무지개 풍경화,색채 표현하기,"파스텔, 도화지",정서안정
2월,예술 여행,1,봄꽃 수채화,자연물 관찰화,"수채화 물감, 붓",집중력
2월,예술 여행,2,색상환 만들기,색깔 혼합하기,"물감, 파레트",논리적 사고
2월,예술 여행,3,나뭇잎 프린팅,자연물 활용하기,"잎사귀, 물감",창의성
2월,예술 여행,4,무지개 풍경화,색채 표현하기,"파스텔, 도화지",정서안정
